questionText,options[0],options[1],options[2],options[3],correctAnswer
Which country is closest to Andaman Islands ?,A. Pakistan,B. India,C. Myanmar,D. Sri-Lanka,C. Myanmar
Largest producer of wool in the world ?,A. India,B. Pakistan,C. Brazil,D. Australia,D. Australia
Pink dolphins are found in _______ River?,A. Nile River,B. Gengis River,C. Amazon  River,D. Indus River.,C. Amazon  River
Fredrick Sanger has received the Noble Prize twice for which subjects ?,A. Chemistry & Physics,B. Biology & Physics,C. Chemistry only,D. Physics only,C. Chemistry only
"Uzbekistan, Turkemanistan & Gergia became members of UNO in which year ?",A. 1990,B. 1991,C. 1992,D. 1993,C. 1992
Worlds fastest shorthand writer is _________?,A. Jm Tagore,B. JS Birla,C. GD Bist,D. JS Mill,C. GD Bist
Obama was awarded with Noble Prize for peace in ________ ?,A. 2009,B. 2010,C. 2011,D. 2012,A. 2009
“Plague” is a disease which spreads by ______ ?,A. Rat,B. Cat,C. Bat,D. parasitic insect,D. parasitic insect
Name the highest Battlefield in the world?,A. Jafana,B. Tibet,C. The Siachen Glacier,D. None of these,C. The Siachen Glacier
In which state of Maynmar Rohingya Muslims were killed by Buddhists ?,A. Kayin state,B. Rakhine state,C. Chin state,D. None of These,B. Rakhine state
Cyril Radcliff was a ________ by profession?,A. Doctor,B. Engineer,C. Writer,D. Lawyer,D. Lawyer
Which civilization is considered to be the oldest civilization of the world?,A. Phrygia civilization,B. Sumerian civilization,C. Elam civilization,D. Urartu civilization,B. Sumerian civilization
Largest producer of onions is _____________?,A. Russia,B. USA,C. China,D. India,C. China
Ms. Kim Campbell was the first woman prime minister of___________?,A. France,B. Germany,C. Canada,D. None of these,C. Canada
The novel ” Sowrd of Tipu Sultan ” was written by __________?,A. K.M Munshi,B. Leo Tolstoy,C. Bhagwan S. Gidwani,D. None of these,C. Bhagwan S. Gidwani
who is the author of ” Nineteen Eighty-four ” ?,A. Shakespeare,B. George Orwell,C. R.k laxman,D. None of these,B. George Orwell
First Agriculture University of Pakistan is_________?,"A. University of Agriculture, Faisalabad","B. University of Agriculture, Peshawar","C. University of Agriculture, Multan",D. None of these,"A. University of Agriculture, Faisalabad"
CIA intelligence agency of USA was established in___________?,A. 1943,B. 1944,C. 1945,D. 1947,D. 1947
The First Android Mobile Launched in Which year?,A. September 2007,B. September 2008,C. September 2009,D. September 2010,B. September 2008
The highest navigable lake in the world is:__________?,A. Lake Victoria,B. Titicaca Lake,C. Haleji Lake,D. None of these,B. Titicaca Lake
What is the Name of Google’s Parent Company?,A. Alphabet Inc,B. Amazon,C. The Priceline Group,D. None of these,A. Alphabet Inc
Where did the 1896 Olympics take place?,A. Germany,B. France,C. Athens (Greece Capital),D. None Of These,C. Athens (Greece Capital)
World biodiversity day is celebrated on:_________?,A. Mar-21,B. March-2,C. Apr-22,D. May-22,D. May-22
International day of forest is celebrated on___________?,A. Mar-3,B. Mar-15,C. March-21,D. None of the above,C. March-21
Who made Islamabad the capital of Pakistan?,A. Sikander Mirza,B. Zulfiqar Ali Bhutto,C. Ayub Khan,D. Zia-ul-Haq,C. Ayub Khan
John Logie Baird is known for his invention of_________?,A. Mobile Phone,B. Laptop,C. Television,D. Radio,C. Television
The Paris agreement of the United Nations Framework Convention on Climate Change is to limit global warming well below:,A. 1.5 °C,B. 2.0 °C,C. 2.5 °C,D. None of these,B. 2.0 °C
Which mountain is called  “Chogori” and “Savage Mountain”?,A. Mount Everest,B. Nanga Parbat,C. K2,D. Trichmir,C. K2
"In 2019, in which country there was a widespread protest against an Extradition Amendment Bill?",A. Venezuela,B. Sri Lanka,C. Hong Kong,D. Taiwan,C. Hong Kong
"The recent leap year, where February has/had 29 days, is/was:__________?",A. 2017,B. 2018,C. 2019,D. 2020,D. 2020
"Currently, about how much world’s goods trade (by volume) is carried on ships?",A. 20%,B. 60%,C. 80%,D. None of these,C. 80%
Sam Walton was the founder of_________?,A. Uber,B. WeChat,C. Walmart,D. None of these,C. Walmart
Which is the solidarity day with Palestinians?,A. 29th November,B. 27 November,C. 25 November,D. None of these,A. 29th November
___________is known as Baba-e-Ghazal of Pashto?,A. Rahman Baba,B. khushal Khan khattak,C. HAMZA Baba,D. Israr Atal,C. HAMZA Baba
Hail storm occurs in summer season due to the formation of clouds called :___________?,A. Cirrus,B. Cumulus,C. Cumulonimbus,D. Curriculum,C. Cumulonimbus
The world’s longest glacial system outside the polar regions (the Biafo Glacier) is located in__________?,A. America,B. Canada,C. Iceland,D. Pakistan,D. Pakistan
Which organ of the United Nations has ceased its operations?,A. Trusteeship Council,B. International Court of Justice,C. The Secretariat,D. Economic Council,A. Trusteeship Council
What is the Currency of North Korea?,A. Franc,B. leu,C. shilling,D. Won,D. Won
OIC changed its name from Organisation of the Islamic Conference to Organisation of Islamic Cooperation in _________.,A. 1991,B. 1999,C. 2001,D. 2011,D. 2011
Which of the the following is considered as 8th Continent?,A. New Zealand,B. West Asia,C. Zealandia,D. None of these,C. Zealandia
Which is the sixth most populated country of the world?,A. India,B. Brazil,C. Pakistan,D. None of them,B. Brazil
The first news paper in the world was started by____________?,A. China,B. Japan,C. Usa,D. Uk,A. China
Who is the author of “Raqqat-e-Alamgiri” ?,A. Ishwar Das,B. Aurangzeb,C. Dara Shikhon,D. Mulla Daud,B. Aurangzeb
Who is the author of Khulasat-ul-Tawarikh ?,A. Sujan Raj Khatri,B. Abdul Hamid Lahori,C. Inyat Khan,D. Abul Fazl,A. Sujan Raj Khatri
Who wrote biography of Humayun ?,A. Hindal,B. Kamran,C. Gulbadan Begum,D. None of theseRajia Sultana,C. Gulbadan Begum
The flag of Malaysia carries a crescent and a fourteen pointed star. What do the 14 points of the star represent:,A. Multiracial society of Malaysia,B. Multi linguistic nature of Malaysian society,C. Thirteen states and the Federal Government,D. None of these,C. Thirteen states and the Federal Government
Which city is called the City of Shaheens?,A. Lahore,B. Sargodha,C. Karachi,D. None of these,B. Sargodha
World Leprosy Day is observed internationally every year on ________ of January?,A. First Sunday,B. First Saturday,C. Last Sunday,D. Last Saturday,C. Last Sunday
The Karakoram is a mountain range present in____________?,A. India,B. Pakistan,C. China,D. all of these,D. all of these
Chile has the longest shore along____________?,A. Atlantic Sea,B. Black Sea,C. Mediterranean Sea,D. Pacific Ocean,D. Pacific Ocean
The largest section of the Kurd population is living in___________?,A. Iraq,B. Iran,C. Turkey,D. Syria,C. Turkey
Where is Louvre Art gallery located?,A. Germany,B. France,C. England,D. None of these,B. France
Who is the first person to walk in the space in 1965?,A. Yuri Gagarin,B. Neil Armstrong,C. Tereskova,D. Alexel Leonov,D. Alexel Leonov
Which among the following are known as E3?,"A. France, Spain, UK","B. Germany, Austria, UK","C. Poland, Germany, Greece","D. France, Germany, Italy","D. France, Germany, Italy"
‘Forint’ is the currency of which country?,A. Hungary,B. Haiti,C. Argentine,D. None of these,A. Hungary
“Tanjug” is the news agency of which country?,A. Ghana,B. Cyprus,C. Portugal,D. Serbia,D. Serbia
Which of the following statement is correct regarding the Korean War 1950-53 ?,A. USSR backed North Korea,B. US remained neutral,C. War was initiated by South Korea,D. All of these,A. USSR backed North Korea
Which city of Pakistan called City of Colleges?,A. Karachi,B. Lahore,C. Islamabad,D. Peshawar,B. Lahore
How many people walked on moon’s surface as of 2021?,A. 2,B. 4,C. 12,D. None of these,C. 12
Where is the International Thermonuclear Experimental Reactor (ITER) situated?,"A. Shanghai, China","B. Palo Alta, USA","C. Cadarache, France","D. Santiago, Chile","C. Cadarache, France"
Renaissance of sciences was written by __________ ?,A. Al farabi,B. Karl Marx,C. Al Ghazali,D. Thomas hobbes,C. Al Ghazali
Why are there always crushed stones near railway tracks ?,A. The stones did not allow vegetation to grow on railway tracks.,B. To keeps water from reaching the track on a regular basis & softening the ground.,"C. To hold the wooden cross ties in place, which in turn hold the rails in place.",D. All of the these,D. All of the these
When Turbat University was found?,A. 2012,B. 2013,C. 2014,D. None of these,A. 2012
The worlds longest mountain range is___________?,A. The Andes,B. The Alps,C. Karakoram,D. None of these,A. The Andes
Who is known to the father of geography?,A. Aristotle,B. Herodotus,C. Erastosthenes,D. None of these,C. Erastosthenes
What is the new height of Mount Everest?,"A. 8841.0m (29,006)","B. 8848.86m (29,032 ft)","C. 8856.74m (29,057)",D. None of these,"B. 8848.86m (29,032 ft)"
Jamal Ahmad Khashoggi was a columnist for _______?,A. The New York Times,B. The Mirror,C. World Time,D. The Washington Post,D. The Washington Post
Name of the Indian Prime Minister who won Pakistan’s highest civilian award “Nishan-e-Pakistan”,A. Atal Bihari Vajpayee,B. Manmohan Singh,C. Morarji Desai,D. None of these,C. Morarji Desai
How many Indians have got Pakistan’s Highest Civil Award known as “Nishan-e-Pakistan”,A. 1,B. 2,C. 3,D. None of these,A. 1
River Nile flows mainly through which city?,A. Tripoli,B. Damascus,C. Cairo,D. None,C. Cairo
Where is the pyramid of Giza situated?,A. Egypt,B. Sudan,C. France,D. None,A. Egypt
Which is the national tree of japan?,A. Sugi,B. Deode,C. Olive,D. None of these,A. Sugi
Astola Island is located in____________?,A. Sindh,B. Balochistan,C. Punjab,D. KPK,B. Balochistan
The millennium Development Goal (MDGs) were adopted in 2000. How many goals were identified in the MDG’s ?,A. 8,B. 9,C. 10,D. 12,A. 8
Genghis Khan founded the__________?,A. Mongol Empire,B. Lodi dynasty,C. Mughal empire,D. None of these,A. Mongol Empire
Great Dividing Range mountain is in_________?,A. Asia,B. Atlantica,C. Europe,D. Australia,D. Australia
Bonn agreement was signed in the Bonn city of Germany on__________ for the re-creation and re-establishment of Afghanistan following the US invasion?,"A. 5 Dec , 2000","B. 5 Nov, 2001","C. 5 Dec, 2001","C. 11 Sept , 2011","C. 5 Dec, 2001"
The Country through which both equator abd Tropic of Capricorn passes is?,A. New Zealand,B. Brazil,C. Norway,D. Australia,B. Brazil
Shah Burj was constructed by which Mughal Empror?,A. Aurangzeb,B. Jahangir,C. Shah Jahan,D. Babar,C. Shah Jahan
Shah Burj gate is located in____________?,A. Islamabad,B. Lahore,C. Karachi,D. Faislabad,B. Lahore
Per Capital GDP per Year in Bahrain ?,"A. 17,699","B. 23,710","C. 49,799",D. None of these,"B. 23,710"
Capital and Largest City of Bahrain is_________?,A. Sitra,B. Muharraq,C. Manama,D. None of these,C. Manama
Who became world’s richest person in 2021?,A. Jeff Bezos,B. Elon Musk,C. Bill Gates,D. Bernard Arnault,B. Elon Musk
Iranian parliament is also called___________?,A. Majlis,B. The Islamic consultative assembly,C. Majlis e Shoora,D. Both A and B,D. Both A and B
NASDAQ is the stock exchange of __________?,A. Germany,B. London,C. America,D. None of these,C. America
Which two countries are involved in the implementation of the Kohala Hydroelectric Power project?,A. India and China,B. India and Pakistan,C. Pakistan and China,D. India and Bangladesh,C. Pakistan and China
Which is smallest district of Pakistan by area?,A. Multan,B. Karachi Central,C. Rahim yar Khan,D. None of these,B. Karachi Central
Three-century-old heritage site (mosque) KHUDABAD is present in which city of Sindh?,A. Dadu,B. Karachi,C. Khairpur,D. Umarkot,A. Dadu
Turkish parliament is also called___________?,A. National Assembly,B. Türkiye Büyük Millet Meclisi,C. Grand National Assembly,D. Both B and C,D. Both B and C
When Alexander invade the India?,A. 552 BC,B. 326 BC,C. 44 BC,D. None of these,B. 326 BC
"When 7.7 Magnitude of Earthquake occurred in Awaran, district of Balochistan?",A. 2012,B. 2013,C. 2014,D. None of these2015,B. 2013
"Name the Indian Prime minister, who was awarded Nisan-e- Pakistan?",A. Lal Bahadur Shashtri,B. Sonia Gandhi,C. Morarji Ranchhodji Desai,D. Narendra Modi,C. Morarji Ranchhodji Desai
Gulf cooperation council was originally formed by____________?,"A. Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates",B. Second World Nations,C. Third World Nations,D. Fourth World Nations,"A. Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates"
How many Countries are members of Gulf Cooperation Council (GCC)?,A. 4,B. 6,C. 8,D. None of these,B. 6
Name The Mughal Empire Who Died in 1556 after falling from stairs?,A. Shah Jahan,B. Humayun,C. Jalal-ud-Din Akbar,D. None of these,B. Humayun
The total length of India-Pakistan border is __________ kilometres?,A. 2100,B. 2400,C. 2600,D. None of these,A. 2100
FIH (International Hockey Federation) was founded in which year ?,A. 1922,B. 1920,C. 1921,D. 1924,D. 1924
“Titan” is satellite of___________?,A. Saturn,B. Venus,C. Jupiter,D. Neptune,A. Saturn
World Braille Day celebrated on__________?,A. January 2nd,B. January 3rd,C. January 4th,D. None of these,C. January 4th
38th Parallel line is the boundary line between____________?,A. USA – Canada,B. Iraq – Iran,C. China – Japan,D. North Korea – South Korea,D. North Korea – South Korea
How many Caribbean countries are there?,A. 25,B. 26,C. 27,D. 28,B. 26
Which of the following country host most refugees?,A. Pakistan,B. Turkey,C. Jordan,D. Lebanon,B. Turkey
Which of the following is Tricontinental Country?,A. chad,B. Chile,C. Mali,D. Swaziland,B. Chile
Office of strategic service (OSS) was the old name of which Intelligence agency?,A. MI6,B. CIA,C. ISI,D. N.O.T,B. CIA
When Government College Lahore got the status of university,A. 2002,B. 2004,C. 2006,D. 2008,A. 2002
CHENNAI is the new Name of__________?,A. MADRAS,B. AGRA,C. ALA ABAD,D. MINTO PARK,A. MADRAS
How many states does Malaysia have?,A. 12,B. 13,C. 14,D. 17,B. 13
In which year Smart Card (Smart National Identity Card) Issued in Pakistan?,A. 2010,B. 2011,C. 2012,D. 2014,C. 2012
Which of following is unitary State?,A. Pakistan,B. China,C. India,D. Both B and C,B. China
Famous fast food restaurant company “Burger King” belongs to which Country?,A. America,B. England,C. Turkey,D. None of these,A. America
Palm Jumeirah break the Guinness World Record for the largest fountain located in_________?,"A. Dubai, UAE","B. Abu Dhabi, UAE","C. Barcelona, Spain",D. None of these,"A. Dubai, UAE"
Israel-UAE ties diplomatic relation according to the accord?,A. Ibraham accord,B. David camp accord,C. Peace friendship accord,D. None of these,A. Ibraham accord
"Nawaz Sharif park, which was renamed as Allama Iqbal Park is located in__________?",A. Karachi,B. Lahore,C. Rawalpindi,D. Islamabad,C. Rawalpindi
The world’s first Photograph was taken in __________ ?,A. 1826,B. 1829,C. 1835,D. 1935,A. 1826
The first person to draw the map of earth?,A. Heraclitus,B. phythagoras,C. Anaximander,D. Thales,C. Anaximander
Who laid first step on the Moon?,A. LMP Edgar,B. CMP Stuart,C. Neil Armstrong,D. None of them,C. Neil Armstrong
Bastille day is celeberated in France every year on____________?,A. 14 may,B. 14 June,C. 14 July,D. 16 July,C. 14 July
What is the name of Chinese parliament?,A. National Assembly,B. National people’s Congress,C. Fedral parliament,D. All Of Above,B. National people’s Congress
Ogaden desert is present in__________?,A. Europe,B. Asia,C. Africa,D. America,C. Africa
